report,personal,personal,halfpersonal,halfpersonal,nonpersonal,nonpersonal
phase,pre,post,pre,post,pre,post
dataset,,,,,,
abstention,7.0,7.0,7.0,7.0,7.0,7.2
abstention_answerable,3.0,3.0,3.0,3.0,7.0,6.133333333333334
advbench,9.0,7.0,10.0,7.933333333333334,10.0,9.0
ambigqa,3.4,7.0,7.0,7.0,7.0,7.933333333333334
ambigqa_unambiguous,3.0,4.666666666666667,3.2,4.0,5.8,6.733333333333333
engaging,3.0,7.0,3.0,7.333333333333333,,7.666666666666667
harmbench,8.5,7.666666666666667,7.6,8.4,9.0,9.0
squad_answerable,2.4,2.0,2.6,2.0,3.0,3.0
squad_noanswer,3.0,3.0,3.0,3.0,6.8,6.533333333333333
strongreject,,7.0,8.6,7.733333333333333,8.5,8.333333333333334
tedious,1.0,3.0,1.0,7.0,1.0,7.0
toxicchat,7.0,7.733333333333333,3.0,7.0,7.0,8.466666666666667
toxicchat_benign,3.0,5.133333333333334,7.0,5.733333333333333,7.0,7.0
xstest_safe,3.0,6.666666666666667,3.0,7.0,7.0,7.0
